abandon	elhagyott
crops	termények
cross	kereszt
crossed	keresztbe
crosses	keresztek
crossing	átkelés
crowd	tömeg
crowded	zsúfolt
crown	korona
crowned	koronás
crucial	alapvető
cruel	kegyetlen
cruise	hajókázás
crush	összetörni
crushed	összetörve
crust	kéreg
cry	kiáltás
crying	síró
crypto	kripto
crystal	kristály
crystalline	kristályos
crystals	kristályok
cuba	Kuba
Cuban	kubai
cuisine	konyha
cult	kultusz
cultivated	művelt
cultivation	termesztés
cultural	kulturális
culture	kultúra
cultures	kultúrák
cup	csésze
cups	csészéket
cure	gyógymód
cured	meggyógyult
curiosity	kíváncsiság
curious	kíváncsi
currency	valuta
current	jelenlegi
currently	jelenleg
currents	áramlatok
curse	átok
curtain	függöny
curve	ív
curved	ívelt
curves	görbék
custody	őrizet
custom	egyedi
customer	vevő
customers	vásárlók
customs	vám
cut	vágott
cute	aranyos
cuts	vágások
cutting	vágás
cycle	ciklus
cycles	ciklusok
cycling	kerékpározás
cyclone	ciklon
cylinder	henger
cyprus	Ciprus
czech	cseh
dad	apu
daily	napi
dairy	tejtermék
dam	gát
damage	kár
damaged	sérült
damaged	sérült
damages	kártérítés
damn	átkozott
dance	tánc
dancer	táncos
dances	táncol
dancing	tánc
danger	veszély
dangerous	veszélyes
danish	dán
dare	merészel
dark	sötét
darkness	sötétség
data	adat
database	adatbázis
date	dátum
dated	keltezett
dates	dátumok
dating	társkereső
daughter	lánya
daughters	lányai
dawn	hajnal
day	nap
days	napok
dead	halott
deadly	halálos
deaf	süket
deal	üzlet
dealer	kereskedő
dealing	foglalkozik
deals	ajánlatokat
dealt	foglalkozott
dean	dékán
dear	kedves
death	halál
deaths	halálozások
debate	vita
debris	törmelék
debt	adósság
debts	adósságok
debut	bemutatkozás
debuted	debütált
decade	évtized
decades	évtizedekben
decay	hanyatlás
decay	hanyatlás
deceased	elhunyt
decent	megfelelő
decide	döntsd el
decided	határozott
decides	dönt
decision	döntés
decisions	döntéseket
decisive	döntő
deck	fedélzet
declaration	nyilatkozat
declared	jelentette ki
decline	hanyatlás
declined	elutasította
decorate	díszít
decorated	díszített
decoration	dekoráció
decorative	dekoratív
decrease	csökken
decreased	csökkent
decreases	csökken
decrease	csökken
decree	rendelet
dedicated	dedikált
deep	mély
deeper	mélyebbre
deeply	mélyen
deer	szarvas
default	alapértelmezett
defeat	vereség
defeated	legyőzött
defeating	legyőzni
defect	disszidál
defects	hibákat
defence	védelem
defend	megvédeni
defended	védekezett
defending	védekező
defense	védelem
defensive	védekező
deficiency	hiány
define	meghatározni
defined	meghatározott
defines	meghatározza
defining	meghatározó
definitely	egyértelműen
definition	meghatározás
definitions	definíciók
degree	fokozat
degrees	fokon
delay	késleltetés
delayed	késleltetett
delegation	delegáció
delete	töröl
deleted	törölve
deliberately	szándékosan
delicate	törékeny
delicious	finom
deliver	szállít
delivered	szállított
delivery	szállítás
demand	igény
demanded	követelte
demanding	igényes
demands	igények
democracy	demokrácia
democrat	demokrata
democratic	demokratikus
democrats	demokraták
demolished	lebontották
demon	démon
demons	démonok
demonstrate	demonstrálni
demonstrated	igazolták
demonstrates	demonstrálja
demonstration	demonstráció
denied	tagadta
denmark	Dánia
dense	sűrű
density	sűrűség
dental	fogászati
dentist	fogorvos
department	osztály
departments	osztályok
departure	indulás
depend	függ
dependent	függő
depending	attól függően
depends	attól függ
depicted	ábrázolt
deployed	bevetve
deployment	bevetése
deposit	letét
deposited	letétbe helyezve
deposits	betétek
depressed	nyomott
depression	depresszió
depth	mélység
depths	mélységek
deputy	helyettes
derivative	derivált
derivatives	származékai
derived	származtatott
descendants	leszármazottak
descended	leereszkedett
descent	Származás
describe	leírni
described	leírta
describes	körülír
describing	leírva
description	leírás
desert	sivatag
deserve	megérdemlik
deserves	megérdemli
design	tervezés
designated	kijelölt
designation	kijelölés
designed	tervezett
designer	tervező
designers	tervezők
designing	tervezés
designs	tervez
desirable	kívánatos
desire	vágy
desired	kívánatos
desires	vágyak
desk	asztal
desktop	asztali
desperate	kétségbeesett
despite	annak ellenére
dessert	desszert
destination	rendeltetési hely
destiny	sors
destroyed	megsemmisült
destroying	pusztító
destruction	megsemmisítés
destructive	pusztító
detail	Részlet
detailed	részletes
details	részletek
detained	visszatartott
detect	felismerni
detected	észlelt
detection	érzékelés
detective	nyomozó
detention	fogva tartás
determination	meghatározás
determine	meghatározni
determined	eltökélt
determines	meghatározza
determining	meghatározó
devastating	pusztító
develop	fejleszteni
developed	fejlett
developer	fejlesztő
developers	fejlesztők
developing	fejlesztés
development	fejlesztés
developments	fejlesztéseket
develops	fejlődik
device	eszköz
devices	eszközöket
devil	ördög
devoted	elkötelezett
diabetes	cukorbetegség
diagnosed	diagnosztizálták
diagnosis	diagnózis
diagnostic	diagnosztikai
dialect	nyelvjárás
dialects	nyelvjárások
dialogue	párbeszéd
diameter	átmérő
diamond	gyémánt
diamonds	gyémántok
diary	napló
dick	Fasz
dictionary	szótár
did	tette
didn	nem
die	meghal
died	meghalt
dies	meghal
diesel	dízel
diet	diéta
dietary	étrendi
differ	különbözik
difference	különbség
differences	különbségek
different	különböző
differential	differenciális
differently	eltérően
differs	különbözik
difficulties	nehézségek
difficulty	nehézség
digestive	emésztési
digging	ásás
digit	számjegy
digital	digitális
dignity	méltóság
dimension	dimenzió
dimensional	dimenziós
dimensions	méretek
dining	étkező
dinosaurs	dinoszauruszok
diocese	egyházmegye
dioxide	dioxid
diplomatic	diplomáciai
direct	közvetlen
directed	irányította
direction	irány
directions	irányokat
directly	közvetlenül
director	rendező
directors	rendezők
dirt	piszok
dirty	piszkos
disabled	Tiltva
disappear	eltűnik
disappeared	eltűnt
disappointed	csalódott
disaster	katasztrófa
disc	lemez
discharge	kisülés
discipline	fegyelem
disciplines	diszciplínák
discontinued	megszakított
discount	kedvezmény
discover	felfedez
discovered	felfedezték
discovers	felfedezi
discovery	felfedezés
discrimination	megkülönböztetés
discs	lemezeket
discuss	megbeszélni
discussed	megbeszélték
discussing	megvitatása
discussion	vita
discussions	viták
disease	betegség
diseases	betegségek
disgusting	undorító
dish	tál
dishes	edények
Disk	Korong
dismissed	elbocsátották
disorder	rendellenesség
disorders	rendellenességek
displacement	elmozdulás
display	kijelző
displayed	Megjelenik
displays	megjeleníti
disposal	ártalmatlanítása
dispute	vita
disputed	vitatott
disputes	viták
dissolved	feloldódott
distance	távolság
distances	távolságok
distant	távoli
distinct	különböző
distinction	megkülönböztetés
distinctive	megkülönböztető
distinguish	megkülönböztetni
distinguished	kiváló
distribute	terjeszteni
distributed	megosztott
distribution	terjesztés
district	kerület
districts	kerületek
disturbed	zavart
dive	merülés
diverse	különböző
diversity	sokféleség
divide	feloszt
divided	megosztott
divine	isteni
diving	búvárkodás
division	osztály
divisions	hadosztályok
divorce	válás
divorced	elvált
dna	DNS
do	csináld
dock	dokk
doctor	orvos
doctors	orvosok
doctrine	doktrína
document	dokumentum
documentary	dokumentumfilm
documentation	dokumentáció
documented	dokumentált
documents	dokumentumokat
does	csinál
doesn	nem
dog	kutya
dogs	kutyák
doing	csinál
doll	baba
dollar	dollár
dollars	dollárt
dolphins	delfinek
domain	tartomány
dome	kupola
domestic	belföldi
dominant	uralkodó
dominate	uralni
dominated	uralta
donated	adományozott
done	Kész
door	ajtó
doors	ajtók
dose	dózis
doses	adagokat
double	kettős
doubt	kétség
doubts	kétségek
dough	tészta
down	le
download	Letöltés
downtown	belváros
dozen	tucat
dozens	több tucat
draft	tervezet
drafted	fogalmazott
drag	húzza
dragon	sárkány
dragons	sárkányok
drain	csatorna
drainage	vízelvezetés
drama	dráma
dramatic	drámai
dramatically	drámaian
drank	ivott
draw	húz
drawing	rajz
drawings	rajzokat
drawn	húzott
draws	felhívja
dream	álom
dreamed	álmodott
dreams	álmokat
dress	ruha
dressed	öltözött
dresses	ruhák
dressing	öltözködés
drew	rajzolt
dried	szárított
drill	fúró
drilling	fúrás
drink	ital
drinking	ivás
drinks	italokat
drive	hajtás
driven	hajtott
driver	sofőr
drivers	járművezetők
drives	meghajtók
driving	vezetés
drop	csepp
dropped	csökkent
drops	cseppek
drought	aszály
drove	hajtott, vezetett
drowned	megfulladt
drug	drog
drugs	drogok
drum	dob
drummer	dobos
drums	dobok
drunk	részeg
dry	száraz
drying	szárítás
dual	dupla
duck	kacsa
due	esedékes
dug	ásta
duke	herceg
dull	unalmas
duo	duó
durable	tartós
duration	időtartama
during	alatt
dust	por
dutch	holland
duties	kötelességek
duty	kötelesség
dwarf	törpe
dye	festék
dying	haldoklik
dynamic	dinamikus
dynamics	dinamika
dynasty	dinasztia
each	minden egyes
eagle	sas
eagles	sasok
ear	fül
earl	gróf
earlier	korábban
earliest	legkorábban
early	korai
earn	pénzt keres
earned	szerzett
earning	kereső
ears	fülek
earth	föld
earthquake	földrengés
ease	könnyedség
easier	könnyebb
easily	könnyen
east	keleti
easter	húsvéti
eastern	keleti
easy	könnyen
eat	eszik
eaten	evett
eating	enni
eats	eszik
ecological	ökológiai
economic	gazdasági
economics	közgazdaságtan
economies	gazdaságok
economy	gazdaság
ecosystem	ökoszisztéma
ecosystems	ökoszisztémák
ed	szerk
edge	él
edges	élek
edited	szerkesztette
editing	szerkesztés
edition	kiadás
editions	kiadások
editor	szerkesztő
editorial	szerkesztőségi
educate	oktat
educated	művelt
education	oktatás
educational	nevelési
effect	hatás
effective	hatékony
effectively	hatékonyan
effectiveness	hatékonyság
effects	hatások
efficacy	hatékonyság
efficiency	hatékonyság
efficient	hatékony
efficiently	hatékonyan
effort	erőfeszítés
efforts	erőfeszítések
egg	tojás
eggs	tojás
egypt	Egyiptom
egyptian	egyiptomi
eight	nyolc
eighteen	tizennyolc
eighth	nyolcadik
either	bármelyik
elaborate	bonyolult
elastic	rugalmas
elder	idősebb
elderly	idős
eldest	legidősebb
elect	választ
elected	megválasztott
election	választás
elections	választások
electoral	választói
electric	elektromos
electrical	elektromos
electricity	elektromosság
electromagnetic	elektromágneses
electron	elektron
electronic	elektronikus
electronics	elektronika
electrons	elektronok
elegant	elegáns
element	elem
elementary	alapvető
elements	elemeket
elephant	elefánt
elevated	emelkedett
elevation	magasság
elevator	lift
eleven	tizenegy
eligible	választható
eliminate	megszüntetni
eliminated	Eltüntetett
elimination	megszüntetése
elite	elit
elizabeth	Erzsébet
else	más
elsewhere	máshol
embarrassed	zavart
embassy	nagykövetség
embedded	beágyazott
emerge	felbukkan
emerged	előkerült
emergence	megjelenése
emergency	vészhelyzet
emerging	feltörekvő
emission	kibocsátás
emissions	kibocsátások
emotion	érzelem
emotional	érzelmi
emotions	érzelmek
emperor	császár
emphasis	hangsúly
emphasize	hangsúlyt helyez
emphasized	hangsúlyozta
empire	Birodalom
employed	munkavállaló
employee	munkavállaló
employees	alkalmazottak
employer	munkáltató
employment	foglalkoztatás
empty	üres
en	hu
enable	engedélyezze
enabled	engedélyezve van
enables	lehetővé teszi
enclosed	zárt
encounter	találkozás
encountered	találkozott
encourage	bátorítani
encouraged	biztatott
encouraging	bátorító
end	vége
endangered	veszélyeztetett
ended	vége lett
endemic	helyi
ending	befejező
endless	végtelen
endorsed	jóváhagyta
ends	véget ér
enemies	ellenségek
enemy	ellenség
energies	energiák
energy	energia
enforcement	végrehajtás
engage	vegyenek részt
engaged	elkötelezett
engagement	eljegyzés
engine	motor
engineer	mérnök
engineering	mérnöki
engineers	mérnökök
engines	motorok
england	Anglia
english	angol
enhance	fokozza
enhanced	fokozott
enjoy	Élvezd
enjoyed	élvezte
enjoying	élvezve
enjoys	élvezi
enormous	hatalmas
enough	elég
enrolled	beiratkozott
ensemble	együttes
ensure	biztosítsa
ensures	biztosítja
ensuring	biztosítva
enter	belép
entered	belépett
entering	belépő
enterprise	vállalkozás
enterprises	vállalkozások
enters	belép
entertainment	szórakozás
enthusiasm	lelkesedés
entire	teljes
entirely	teljesen
entities	entitások
entitled	jogosult
entity	entitás
entrance	bejárat
entrepreneurs	vállalkozók
entry	belépés
envelope	boríték
environment	környezet
environments	környezetek
envy	irigység
enzyme	enzim
enzymes	enzimek
epic	epikus
epidemic	járvány
episode	epizód
episodes	Epizódok
equal	egyenlő
equality	egyenlőség
equally	egyaránt
equation	egyenlet
equations	egyenletek
equilibrium	egyensúlyi
equipment	felszerelés
equipped	felszerelt
equity	saját tőke
era	korszak
erected	felállított
error	hiba
errors	hibákat
escape	menekülni
escaped	megszökött
especially	különösen
Esperanto	eszperantó
essay	esszé
essence	lényeg
essential	alapvető
essentially	lényegében
establish	létrehozni
established	alapított
establishing	létesítése
establishment	létesítése
estate	birtok
estimate	becslés
estimated	becsült
estimates	becslések
estonia	Észtország
etc	stb.
eternal	örök
ethical	etikai
ethics	etika
ethiopia	Etiópia
ethnic	etnikai
europe	Európa
european	európai
Europeans	európaiak
euros	eurót
evaluate	értékelni
evaluated	értékelték
evaluation	értékelés
eve	előestéje
even	még
evening	este
event	esemény
events	eseményeket
eventually	végül is
ever	valaha
every	minden
everyday	minden nap
everyone	mindenki
everything	minden
everywhere	mindenhol
evidence	bizonyíték
evident	nyilvánvaló
evil	gonosz
evolution	evolúció
evolutionary	evolúciós
evolved	fejlődött
ex	volt
exact	pontos
exactly	pontosan
exam	vizsga
examination	vizsgálat
examine	megvizsgálni
examined	megvizsgálták
example	példa
examples	példák
exams	vizsgák
exceed	meghaladja
exceeded	meghaladta
excellence	kiválóság
excellent	kiváló
except	kivéve
exception	kivétel
exceptional	kivételes
exceptions	kivételek
excess	többlet
excessive	túlzott
exchange	csere
excited	izgatott
excitement	izgalom
exciting	izgalmas
excluded	kizárva
exclusive	kizárólagos
exclusively	kizárólagosan
excuse	mentség
executed	végrehajtott
execution	végrehajtás
executive	végrehajtó
exercise	gyakorlat
exercises	feladatok
exhaust	kipufogó
exhausted	kimerült
exhibit	kiállítás
exhibited	kiállítva
exhibition	kiállítás
exhibits	kiállítások
exile	száműzetés
exist	létezik
existed	létezett
existence	létezés
existing	létező
exists	létezik
exit	kijárat
exotic	egzotikus
expand	kiterjed
expanded	kiterjesztett
expanding	bővülő
expansion	terjeszkedés
expect	elvárják
expectations	elvárások
expected	várt
expedition	expedíció
expelled	kiutasították
expense	költség
expenses	költségek
expensive	drága
experience	tapasztalat
experienced	tapasztalt
experiences	tapasztalatokat
experiencing	tapasztalni
experiment	kísérlet
experimental	kísérleti
experiments	kísérletek
expert	szakértő
expertise	szakvélemény
experts	szakértők
explain	megmagyarázni
explained	magyarázta
explains	magyarázza
explanation	magyarázat
exploitation	kizsákmányolás
exploration	felfedezés
explore	Fedezd fel
explored	feltárt
exploring	feltárása
explosion	robbanás
explosive	robbanó
exports	export
expose	kiteszik
exposed	kitett
exposure	kitettség
express	Expressz
expressed	kifejezve
expression	kifejezés
expressions	kifejezéseket
extend	kiterjeszt
extended	kiterjedt
extending	kiterjedő
extends	kiterjed
extension	kiterjesztés
extensive	kiterjedt
extensively	alaposan
extent	mértéke
exterior	külső
external	külső
extinct	kihalt
extinction	kihalás
extra	külön
extract	kivonat
extracted	kinyerjük
extraction	kitermelés
extraordinary	rendkívüli
extreme	szélső
extremely	rendkívül
eye	szem
eyed	szemű
eyes	szemek
fabric	szövet
fabrics	szövetek
facade	homlokzat
face	arc
faced	arccal
faces	arcok
facial	arc
facilitate	megkönnyíti
facilities	felszerelés
facility	létesítmény
facing	szemben
fact	tény
factor	tényező
factories	gyárak
factors	tényezőket
factory	gyár
facts	tények
faculty	tantestület
fail	nem sikerül
failed	nem sikerült
failing	hiányában
fails	nem sikerül
failure	kudarc
failures	kudarcok
fair	becsületes
fairly	meglehetősen
fairy	tündér
faith	hit
faithful	hűséges
fake	hamisítvány
fall	esik
fallen	elesett
falling	eső
falls	esik
false	hamis
fame	hírnév
familiar	ismerős
families	családok
family	család
famous	híres
fan	ventilátor
fans	rajongók
fantastic	fantasztikus
fantasy	fantázia
far	messze
farmer	Gazda
farmers	gazdálkodók
farming	mezőgazdasági
farms	gazdaságok
fascinating	elbűvölő
fashion	divat
fast	gyors
faster	gyorsabban
fastest	leggyorsabb
fat	zsír
fatal	halálos
fate	sors
father	apa
fathers	apák
fatigue	fáradtság
fault	hiba
favor	szívességet
favorable	kedvező
favorite	kedvenc
fear	félelem
fears	félelmek
feast	ünnep
feathers	tollak
feature	funkció
featured	kiemelt
features	jellemzők
featuring	közreműködő
february	február
fed	táplált
federal	szövetségi
federation	szövetség
fee	díj
feed	takarmány
feedback	Visszacsatolás
feeding	táplálás
feeds	táplálja
feel	érez
feeling	érzés
feelings	érzéseket
feels	érzi
fees	díjakat
feet	lábát
fell	leesett
fellow	fickó
felt	filc
female	női
females	nőstények
feminine	nőies
feminist	feminista
fence	kerítés
fermentation	erjesztés
ferry	komp
fertile	termékeny
festival	fesztivál
festivals	fesztiválok
fever	láz
few	kevés
fewer	kevesebb
fiber	rost
fibers	rostok
fiction	kitaláció
fictional	kitalált
field	terület
fields	mezőket
fifteen	tizenöt
fifth	ötödik
fifty	ötven
fight	harc
fighter	harcos
fighters	harcosok
fighting	harcoló
fights	harcok
figure	ábra
figures	figurák
file	fájlt
filed	iktatott
files	fájlokat
fill	tölt
filled	megtöltött
filling	töltő
filmed	filmezték
filming	film forgatás
films	filmeket
filter	szűrő
filters	szűrők
final	végső
finally	végül
finals	döntő
finance	pénzügy
financial	pénzügyi
financing	finanszírozás
find	megtalálja
finding	lelet
findings	megállapításait
finds	talál
fine	bírság
finger	ujj
fingers	ujjait
finish	Befejez
finished	befejezett
finishing	végső
finite	véges
finland	Finnország
finnish	finn
fire	Tűz
fired	kirúgott
fires	tüzek
firing	égetés
firm	cég
firmly	határozottan
firms	cégek
first	első
fiscal	fiskális
fish	hal
fishing	halászat
fit	elfér
fitness	fitnesz
fits	illik
fitted	szerelt
five	öt
fix	javítani
fixed	rögzített
fixing	rögzítő
flag	zászló
flags	zászlókat
flame	láng
flash	vaku
flat	lakás
flavor	aroma
fled	elmenekült
fleet	flotta
flesh	hús
flew	repült
flexibility	rugalmasság
flexible	rugalmas
flies	legyek
flight	repülési
flights	járatok
float	úszó
floating	úszó
flood	árvíz
flooded	elárasztott
flooding	árvíz
floor	padló
floors	emeletek
flora	növényvilág
floral	virágos
florence	Firenze
flour	Liszt
flow	folyam
flower	virág
flowering	virágzás
flowers	virágok
flowing	folyó
flows	folyik
flu	influenza
fluid	folyadék
fluids	folyadékok
fly	légy
flying	repülő
foam	hab
focus	fókusz
focused	összpontosított
focuses	fókuszál
focusing	összpontosítás
fog	köd
fold	hajtogatni
folded	összehajtogatva
folding	összecsukható
folk	népi
follow	kövesse
followed	követte
followers	követői
following	következő
follows	következik
food	étel
foods	élelmiszerek
fool	bolond
foot	láb
footage	felvételeket
football	futball
for	számára
forbidden	tiltott
force	Kényszerítés
forced	kényszerű
forces	erők
forcing	kényszerítve
forehead	homlok
foreign	külföldi
foreigners	külföldiek
forest	erdő
forests	erdők
forever	örökké
forget	elfelejt
forgive	megbocsát
forgiveness	megbocsátás
forgot	elfelejtette
forgotten	elfelejtett
fork	Villa
form	forma
formal	hivatalos
formally	formálisan
format	formátum
formation	képződés
formations	formációk
formats	formátumok
formed	alakított
former	korábbi
formerly	korábban
forming	alakítás
forms	formák
formula	képlet
formulated	megfogalmazva
fort	erőd
forth	tovább
fortress	erőd
fortune	szerencse
forty	negyven
forum	fórum
forward	előre
fossil	kövület
fossils	kövületek
foster	nevelődjön
fought	harcolt
found	megtalált
foundation	Alapítvány
foundations	alapok
founded	alapított
founder	alapító
founders	alapítói
founding	alapítása
fountain	szökőkút
four	négy
fourteen	tizennégy
fourth	negyedik
fox	róka
fraction	töredék
fracture	törés
fragile	törékeny
fragments	töredékek
frame	keret
framed	keretezett
frames	keretek
framework	keretrendszer
france	Franciaország
frank	őszinte
fraud	csalás
frederick	Frigyes
free	ingyenes
freedom	szabadság
freely	szabadon
freeze	fagy
freezing	fagyasztó
freight	teherszállítás
french	Francia
frequencies	frekvenciák
frequency	frekvencia
frequent	gyakori
frequently	gyakran
fresh	friss
freshly	frissen
freshwater	édesvízi
friction	súrlódás
friday	péntek
fridge	hűtőszekrény
fried	sült
friend	barátja
friendly	barátságos
friends	barátok
friendship	barátság
frog	béka
from	tól től
front	elülső
frost	fagy
frozen	fagyott
fruit	gyümölcs
fruits	gyümölcsök
fry	süt
fuck	bassza meg
fuel	üzemanyag
fulfill	teljesíteni
full	teljes
fully	teljesen
fun	szórakoztató
function	funkció
functional	funkcionális
functionality	funkcionalitás
functioning	működőképes
functions	funkciókat
fund	alap
fundamental	alapvető
funded	finanszírozott
funding	finanszírozás
funds	alapok
funeral	temetés
fungi	gombák
fungus	gomba
funny	vicces
fur	szőrme
furniture	bútor
further	további
furthermore	továbbá
fusion	fúzió
future	jövő
gain	nyereség
gained	szerzett
gaining	megszerzése
gains	nyereséget
galaxy	galaxis
gallery	Képtár
gambling	szerencsejáték
game	játszma, meccs
gameplay	játékmenet
games	játékok
gaming	szerencsejáték
gang	banda
gap	rés
garage	garázs
garbage	szemét
garden	kert
gardens	kertek
garlic	fokhagyma
gas	gáz
gases	gázok
gasoline	benzin
gate	kapu
gates	kapuk
gather	összegyűjteni
gathered	összegyűjtött
gathering	összejövetel
gauge	nyomtáv
gave	adott
gay	meleg
gear	felszerelés
gel	gél
gender	neme
gene	gén
genera	nemzetségek
general	Tábornok
generally	általában
generate	generál
generated	generált
generates	generál
generating	generáló
generation	generáció
generations	generációk
generator	generátor
generic	generikus
generous	nagylelkű
genes	gének
genetic	genetikai
geneva	Genf
genius	zseni
genome	genom
genre	műfaj
genres	műfajok
gentle	kedves
gentleman	úriember
gentlemen	Urak
gently	gyengéden
genuine	őszinte
genus	nemzetség
geographic	földrajzi
geographical	földrajzi
geography	földrajz
geological	geológiai
geometric	geometriai
geometry	geometria
George	György
Georgia	Grúzia
Georgian	grúz
German	német
Germanic	germán
germans	németek
germany	Németország
get	kap
gets	kap
getting	szerzés
ghost	szellem
ghosts	szellemek
giant	óriás
giants	óriások
gift	ajándék
gifts	ajándékokat
girl	lány
girlfriend	barátnő
girls	lányok
give	adni
given	adott
gives	ad
giving	adva
glad	boldog
gland	mirigy
glands	mirigyek
glass	üveg
glasses	szemüveg
global	globális
globally	globálisan
globe	földgolyó
glory	dicsőség
gloves	kesztyűt
glucose	szőlőcukor
glue	ragasztó
go	megy
goal	cél
goals	célokat
goat	kecske
god	Isten
goddess	istennő
gods	istenek
goes	megy
going	haladó
gold	Arany
golden	aranysárga
gone	elmúlt
good	jó
goodbye	viszontlátásra
goods	áruk
gospel	evangélium
got	kapott
gothic	gótikus
gotten	kapott
governance	kormányzás
governed	kormányozzák
governing	irányító
government	kormány
governments	kormányok
governor	kormányzó
grab	Megragad
grabbed	megragadta
grace	kegyelem
grade	fokozat
grades	évfolyamok
gradual	fokozatos
gradually	fokozatosan
graduate	érettségizni
graduated	végzett
graduating	végzős
graduation	érettségi
grain	gabona
grains	gabonafélék
grammar	nyelvtan
grand	nagy
grandfather	nagyapa
grandmother	nagymama
grandson	unokája
granite	gránit
grant	támogatást
granted	megadott
grants	támogatások
grape	szőlő
grapes	szőlő
graph	grafikon
graphic	grafikus
graphics	grafika
grass	fű
grateful	hálás
grave	sír
graves	sírok
gravity	gravitáció
gray	szürke
great	nagy
greater	nagyobb
greatest	legnagyobb
greatly	nagymértékben
Greece	Görögország
Greek	görög
greeks	görögök
green	zöld
greenhouse	üvegház
greeted	üdvözölte
grew	nőtt
grey	szürke
grid	rács
grinding	őrlés
grip	markolat
gross	bruttó
ground	talaj
grounds	okokból
group	csoport
groups	csoportok
grove	liget
grow	nő
growing	növekvő
grown	felnőtt
grows	nő
growth	növekedés
guarantee	garancia
guaranteed	garantált
guarantees	garanciákat
guard	őr
guardian	gyám
guards	gárdisták
guess	Találd ki
guest	vendég
guests	vendégek
guidance	tanácsadás
guide	útmutató
guided	vezetett
guidelines	iránymutatásokat
guides	útmutatók
guilt	bűnösség
guilty	bűnös
guitar	gitár
guitarist	gitáros
gulf	öböl
gum	Gumi
gun	pisztoly
guns	fegyvereket
guy	fickó
guys	srácok
gym	tornaterem
gyms	edzőtermek
habit	szokás
habitat	élőhely
habitats	élőhelyek
habits	szokások
had	volt
hadn	volt
hair	haj
haired	hajú
half	fél
hall	előszoba
halls	termek
ham	sonka
hammer	kalapács
hand	kéz
handed	átnyújtotta
handle	fogantyú
handled	kezelt
handles	fogantyúk
handling	kezelése
hands	kezek
handsome	jóképű
hang	lóg
hanging	függő
happen	történik
happened	történt
happening	esemény
happens	történik
happiness	boldogság
happy	boldog
harbor	kikötő
harbour	kikötő
hard	kemény
harder	keményebb
hardly	alig
hardware	hardver
harm	sérelem
harmful	káros
harmony	harmónia
harsh	durva
harvest	aratás
has	van
hat	kalap
hate	gyűlöl
hated	gyűlölt
hates	gyűlöl
hatred	gyűlölet
have	van
haven	menedéket
having	amelynek
he	ő
head	fej
headache	fejfájás
headed	fejes
heading	cím
headquartered	székhelye
headquarters	központ
heads	fejek
heal	gyógyít
healing	gyógyulás
health	Egészség
healthcare	egészségügyi ellátás
healthy	egészséges
hear	hall
heard	hallott
hearing	meghallgatás
heart	szív
hearts	szívek
heat	hőség
heated	fűtött
heating	fűtés
heaven	menny
heavily	súlyosan
heavy	nehéz
hebrew	héber
height	magasság
heights	Magasság
heir	örökös
held	tartott
helicopter	helikopter
hell	pokol
Hello	Helló
helmet	sisak
help	Segítség
helped	segített
helpful	hasznos
helping	segítve
helps	segít
hemisphere	félteke
hence	ennélfogva
henry	Henrik
her	neki
herbal	gyógynövényes
herbs	gyógynövények
herd	csorda
here	itt
hereditary	örökletes
heritage	örökség
hero	hős
heroes	hősök
herself	önmaga
hey	Hé
hid	elrejtette
hidden	rejtett
hiding	bujkál
hierarchy	hierarchia
high	magas
higher	magasabb
highest	legmagasabb
highlight	Kiemel
highlighted	kiemelt
highlights	kiemeli
highly	magasan
highway	országút
highways	autópályák
hiking	túrázás
hill	hegy
hills	dombok
him	neki
himself	önmaga
hip	csípő
hire	bérel
hired	bérelt
his	övé
historian	történész
historians	történészek
historic	történelmi
historical	történelmi
historically	történelmileg
history	történelem
hit	találat
hits	találatokat
hitting	ütés
hobby	hobbi
hockey	jégkorong
hold	tart
holder	tartó
holdings	gazdaságok
holds	tart
hole	lyuk
holes	lyukakat
holiday	ünnep
holidays	ünnepek
holland	Hollandia
hollow	üreges
holy	szent
home	itthon
homeland	haza
homeless	hajléktalan
homemade	házi
homes	otthonok
hometown	szülőváros
homework	házi feladat
honest	becsületes
honey	édesem
honor	becsület
honorary	tiszteletbeli
honored	megbecsült
honour	becsület
hood	kapucni
hook	horog
hop	komló
hope	remény
hoped	remélte
hopes	reméli
hoping	remélve
horizon	horizont
horizontal	vízszintes
hormone	hormon
hormones	hormonok
horn	kürt
horror	borzalom
horse	ló
horses	lovak
hospital	kórház
hospitals	kórházak
host	házigazda
hosted	házigazdája
hostile	ellenséges
hosts	otthont ad
hot	forró
hotel	szálloda
hotels	szállodák
hour	óra
hours	órák
house	ház
housed	elhelyezett
household	háztartás
households	háztartások
houses	házak
housing	ház
how	hogyan
however	azonban
hub	kerékagy
hug	Ölelés
huge	hatalmas
hull	hajótest
human	emberi
humanitarian	humanitárius
humanity	emberiség
humans	emberek
humble	alázatos
humidity	páratartalom
hundred	száz
hundreds	több száz
hung	lógott
hungarian	Magyar
hungary	Magyarország
hunger	éhség
hungry	éhes
hunt	vadászat
hunter	vadász
hunters	vadászok
hunting	vadászat
hurry	siet
hurt	sért
hurts	fáj
husband	férj
hybrid	hibrid
hydraulic	hidraulikus
hydrogen	hidrogén
hygiene	higiénia
hypothesis	hipotézis
I	én
ice	jég
iceland	Izland
icon	ikon
idea	ötlet
ideal	ideál
ideas	ötleteket
identical	azonos
identification	azonosítás
identified	azonosított
