가게	store, shop
핸드폰	cell phone, mobile phone
햄버거	hamburger
햇빛	sunshine, sunlight
행복	happiness
행복하다	happy
행사	event
허리	waist, hip
현금	cash
현재	now, current
형	brother (as seen from the younger brother)
형님	big brother (honorific form)
형제	sibling
호	No. ~
호랑이	tiger
호주	Australia
호텔	hotel
혼자	alone
홈페이지	home page
홍차	black tea
화	anger
화가	artist, painter
화나다	angry
화내다	get angry
화요일	Tuesday
화장실	restroom, toilet, lavatory
화장품	cosmetics
화장하다	makeup
확인하다	confirm, check
환영하다	welcome
환자	patient
회사	company
회사원	employee
회색	grey
회의	conference
횡단보도	crosswalk
후	after
후배	Junior
휴가	vacation, holiday
휴대전화	cell phone, mobile phone
휴일	holiday
휴지	toilet paper
휴지통	trash can
흐리다	cloudy
흰색	white color
힘	power
가계부	household account book
가구점	furniture store
가까이	near
가꾸다	to cultivate
가난	poverty
가늘다	to be thin
가능	possibility, potentiality
가능성	possibility
가능하다	to be possible
가득	full
가라앉다	to sink
가렵다	to be itchy
가루비누	powder soap
가리다	to distinguish
가리키다	to indicate
가만히	motionlessly
가뭄	drought
가사	housework
가상	virtual
가스	gas
가습기	humidifier
가입	entry
가전제품	home appliances
가정	family
가족적	being family-oriented
가축	livestock
가치	value
각각	separately, each
각자	each one
각종	various
간격	interval
간절히	eagerly
간접적	being indirect
간판	signboard
간호	nursing
갈다	to change
갈등	conflict
갈수록	more and more
갈아입다	to change clothes
감각	sense
감기다	to be twined
감독	director
감동적	moving (emotionally)
감상	appreciation
감소	reduction
감정	emotion
감탄	admiration
강물	river water
강변	riverside
강사	teacher
강수량	rain precipitation
강연	lecture
강우량	(the amount of) rainfall
강의	lecture
강의실	lecture hall
강조	emphasis
강하다	to be strong
갖추다	to prepare
갚다	to return, to reward
개강	start of course (lecture)
개구리	frog
개구쟁이	naughty child
개다	to clear up
개막식	opening ceremony
개발	development
개방	opening, opening to the public
개방적	being open
개선	improvement
개성	individuality
개성적	being characteristic
개인적	being personal
개최	hosting (an event)
객관적	being objective
객실	guest room
갸름하다	to be slim and long
걔	that person
거래	transaction
거미	spider
거북이	turtle
거스름돈	change
거절	rejection
거짓	lies
거치다	to go through
거품	bubble
걱정거리	worries
건강식	healthy diet
건강식품	healthy food
건너	across
건네다	to hand over, to start (a conversation)
건더기	solid ingredients of a soup
건망증	forgetfulness
건설	construction
건전지	batteries
건조	dry
건축	architecture
건축가	architect
걸레	rag
걸레질	mopping
걸음	steps
검다	black
검사	inspection
검색	search
검색어	search word
겁	fear
겉	side, outside
겉모습	appearance
게다가	besides, in addition
게시판	bulletin board
게으르다	to be lazy
게임기	game machine
겨우	barely, finally
격려	encouragement
겪다	to experience, to go through
견디다	to endure
결과적	being as a result
결국	after all
결론	conclusion
결말	end (of a story)
결석	absence
결승전	final game/round
결심	decision
결코	never
결혼기념일	wedding anniversary
결혼식장	wedding hall
겸손	humility
겹치다	overlap
경고	warning
경력	career
경비	security
경비원	security guard
경영	management
경영자	executive, CEO
경영학	business administration
경우	case, circumstance
경쟁	competition
경쟁력	competitiveness
경제	economy
경제력	economic power
경제적	being economic
경제학	economics
계산	calculation, accounting
계산대	cashier
계산서	check, bill
계약	contract
계약금	down payment
계약서	(written) contract
계좌	bank account
계층	hierarchy
계획성	planning
계획적	being planned, as planned
고개	head, hill
고객	client, customer
고구마	sweet potato
고궁	traditional Korean palace
고급	high grade
고래	whale
고마움	thankfulness
고무신	rubber shoes
고무줄	rubber band
고민	worry, trouble
고백	confession
고생	hardship
고소하다	to be nutty
고속	high speed
고속도로	highway
고아원	orphanage
고유하다	unique
고지서	notice
고집	persistence
고춧가루	pepper powder
고층	upper floors
고통	pain
곤란	difficulty
골고루	evenly
골목길	alley
골치가 아프다	to be annoying
곰	bear
곱슬머리	natural curly hair
곳곳	here and there, everywhere
공공요금	utility charges
공공장소	public place
공동	joint
공동생활	community life
공사	construction
공손하다	to be polite
공연장	performance hall
공장	factory
공주	princess
공통	common
공통점	common point
공포	fear
공해	pollution
과로	overwork
과목	(class) subject
과소비	waste (of use)
과속	speed violation
과식	overeating
과연	as expected
과외	tutor lesson
과음	excessive drinking
과장	manager
과장하다	to exaggerate
과정	process
과제	task
과학자	scientists
과학적	being scientific
관객	audience
관계없다	to be unrelated
관계자	the person concerned
관광	tourism
관광객	tourist
관광지	tourist attraction
관람	viewing
관람객	audience
관련	relation
관련성	relevance
관리	management
관리실	management room
관용어	idiom
관찰	observation
광장	square, plaza
괜히	for no reason
괴로움	agony, distress
괴로워하다	to be distressed
괴롭다	to be painful
괴롭히다	to harass, to bully
굉장하다	to be great, to be wonderful
굉장히	extremely, to a great extent
교사	teacher
교외	suburbs
교육	education
교육자	educator
교육학	pedagogy
교재	teaching materials
교통수단	transportation
교통편	transportation
교포	overseas resident
교환	exchange
구두쇠	a stingy person
구르다	to roll
구매	purchase
구멍	hole
구별	distinction
구분	classification
구성	composition
구이	grill
구인	a job offer
구입	purchase
구조	structure
구조대	rescue team
구체적	being specific
국가	nation
국그릇	soup bowl
국내선	domestic flights
국문학	(the country's) literature
국물	soup bowl
국민	citizens
국악	traditional Korean music
국외	overseas resident
국제결혼	international marriage
국제선	international flights
국화	chrysanthemum
군대	army
군데	place
굵다	to be thick
궁금증	curiosity
궁금하다	to be curious
권하다	to recommend, to offer
귀걸이	earrings
귀국	return (to home country)
귀신	ghost
귀중하다	to be valuable
귀찮다	to be bothersome, to be tedious
귀하다	to be noble, to be rare, to be fine
규칙적	being regular
그네	swing
그녀	girlfriend
그늘	shade
그대로	as it is
그래도	(but) still
그래야	so that
그래프	graph
그러니	therefore
그러다가	and then
그러므로	hence
그러자	and then
그러하다	so, as such, like that
그루	(how to count trees), stump
그룹	group
그리	so, very, that
그리워하다	to miss, to be nostalgic
그리하여	then
그림책	picture book
그립다	to be nostalgic, to be missed
그만두다	to quit
그만큼	that much
그저	just
근데	by the way
근로자	worker, laborer
근무	work
근육	muscle
글쎄	oh well
글쓴이	author
글씨	letter
글자	letter
긁다	to scratch
금	gold
금메달	gold medal
금액	amount of money
금지	ban
급히	suddenly
긍정적	being positive, being affirmative
기계	machine
기념	commemoration
기념관	memorial hall
기념일	anniversary
기념품	souvenir
기능	function
기다	to crawl
기대	expectation
기도	prayer
기둥	pillar
기록	record
기본	basic
기본적	being fundamental, being basic
기부	donation
기쁨	joy, happiness
기술	skill, technique
기술자	technician
기억	memory
기억나다	to remember, to recall
기억력	memory
기업	company, corporation
기업인	entrepreneur
기운	energy, qi
기울이다	to tilt
기준	standard, criteria
기차역	train station
기차표	train ticket
기초	basic, fundamental
기행문	travelogue, travel essay
기호	symbol
기혼	married
기회	opportunity, change
기후	climate
긴장감	nervousness
길가	roadside
길거리	street
길이	lenth
김장	a custom/event to make Kimchi in winter
깊다	to be deep
깊이	depth
까다	to peel
까다롭다	to have a high standard
깔다	to lay
깜빡	forgetfully, with a blink
깨끗이	clearly
깨닫다	to realize
깨뜨리다	to break
깨소금	sesame salt
깨우다	to wake someone up
깻잎	sesame leaf
꺼지다	to go out, to be extinguished
껍질	peel, skin
꼬리	tail
꼬박꼬박	properly (without failure), faithfully
꼭대기	summit, top
꼴찌	the last place
꼼꼼하다	to be meticulous
꼼꼼히	thoroughly, meticulously
꽃병	flower vase
꽤	quite
꾸미다	to decorate
꾸준히	steadily
꾸짖다	to scold
꿀	honey
꿀벌	honey bee
꿈꾸다	to dream
끈	string
끊다	to cut
끊어지다	to be cut
끊임없다	to be incessant, to be unceasing
끌다	to pull
끝내	finally, eventually
끼어들다	to interrupt
나날이	day by day
나들이	picnic
나름	depends on
나머지	remainder, surplus
나물	(Korean style) seasoned vegetables
나뭇잎	leaf
나서다	to go forward, to get involved
나아가다	to move on
나아지다	to improve
나타내다	to display, to reveal
낙서	doodle
낙엽	fallen leaves
난로	stove, fireplace
난방	heater
날개	wings
날다	to fly
날로	day by day
날리다	to blow away
날씬하다	skinny
날아가다	to fly away
날아다니다	to fly around
날아오다	to fly in
날아오르다	to fly up, to soar
낡다	to be old
남녀노소	men and women of all ages
남녀평등	gender equality
남다	to remain, to be left
남부	southern
남성	male
남성복	men's clothing
낫다	to heal
낭비	waste (of use)
낯설다	to be unfamiliar
낳다	to give birth
내내	always
내려다보다	to look down
내복	underwear
내부	inside, internal
내성적	being shy
내용물	content (of a container)
내쫓다	to kick out
냇가	stream, lake
냉방병	excessive air conditioning syndrome
너그럽다	to be generous
너무나	too~, very
넉넉하다	to be enough, to be rich
널다	to dry, to expose to the air
넓히다	to widen
넘기다	to hand over
넘어가다	to move on to
넘치다	to overflow
네모나다	to be squared
네트워크	network
년대	age
노동	labor
노동자	laborer
노력	effort
노선	route, line
노약자	elderly and physically handicapped
노인	elderly
노처녀	an unmarried and old woman
노총각	unmarried and old man
노트북	laptop
녹다	to be melt
녹음	voice recording
녹음기	voice recorder
논문	(academic) paper
놀랍다	to be amazing, to be remarkable
놀리다	to make fun of
놀이	play, game
놀이터	playground
놈	guy
농담	joke
농민	farmer
농부	farmer
농사	agriculture
농약	pesticides
농작물	crops
농촌	rural
높이	height
높이다	to increase
높임말	honorifics
놓이다	to be placed
놓치다	to miss, to lose
눈길	glance, attention
눈높이	eye-level
눈병	eye disease
눈보라	snowstorm
눈사태	avalanche
눈썹	eyebrow
눈치	wits, sense
눌러쓰다	to wear deeply
느긋하다	to be lazy, to be laid back
느끼하다	to be greasy
늘리다	to increase (the number or volume)
늘어나다	to stretch, to increase
늘어서다	to line up
늙다	to get old
늦추다	to delay
다가오다	to approach, to come closer
다녀가다	to visit
다람쥐	squirrel
다루다	to deal with
다림질	ironing
다수	many
다양하다	to be varied
다음날	next day
다정하다	to be compassionate, to be kind
다투다	to argue, to fight
다행	fortune, luck
다행히	fortunately
단계	stage, step
단골	regular (customer)
단기간	short term
단단하다	to be solid, to be hard, to be strong
단발머리	(women's) short hairstyle
단백질	protein
단속	control, regulate (illegal action)
단순하다	to be simple
단순히	simply
단위	unit
단정하다	to be neat, to be organized
단체	group
단풍	autumn leaves, maple
달라지다	to change
달려가다	to run (to go)
달려오다	to run (to come)
달리	besides, differently
달리기	running
달밤	moonlit night
달아나다	to escape
달콤하다	to be sweet
닭갈비	Korean style chicken dish
담	wall, fence, hedge
담기다	to be put in (a container)
담다	to put in (a container)
담당	being in charge
담당자	person in charge
담백하다	to be pure, to be innocent
담뱃불	tobacco fire
담임	homeroom teacher
답	answer
답글	reply
답답하다	to be stuffy, to be suffocating
답변	answer
당기다	to pull
당분간	for a while (from now on)
당연하다	to be natural,to be justifiable,to be fair
당연히	of course
당장	immediately, for now
당하다	to be done
당황하다	to be embarrassed, to be bewildered
대개	mostly, usually
대기업	large company
대다	to touch
대단하다	to be great
대단히	greatly
대도시	big city
대량	mass, a large amount
대리	substitute
대문	door, gate
대신	in substitute
대여	rental
대여료	rental charge
대접	hospitality
대중	public
대중교통	public transportation
대중목욕탕	public bath
대책	countermeasures
대청소	housecleaning
대체로	usually, in general
대출	loan, lend
대통령	president (of a country)
대표	representative
대표적	being representative, being typical
대형	large size
댄스	dance
더구나	furthermore, moreover
더러워지다	to get dirty
더욱	even more
더위	heat, hotness
더하다	to add on, to get worse
덕	thanks (to someone)
던지다	to throw
덜	less, not yet
덜다	to cut back
데다	to get burned
데려오다	to bring
데치다	to boil quickly
도구	tool
도난	theft
도대체	how on earth
도둑	thief
도망가다	to escape, to run away
도서	books
도시락	lunchbox
도장	seal, stamp
도전	challenge
도중	on the way
독	poison
독감	influenza, flu
독립	independence
독방	room to oneself, solitary confinement
독신자	an unmarried, single person
독특하다	to be unique
돌	stone, rock
돌다	to spin, to get around
돌려받다	to get returned
돌려보내다	to return
돌려주다	to return
돌리다	to turn
돌보다	to take care
돌솥	stone pot
돌아다니다	to walk around
돌아보다	to look back
돌아서다	to turn back
돌잔치	1st birthday
동굴	cave
동료	colleague
동물원	zoo
동부	eastern part
동서양	eastern and western
동시	simultaneous
동양화	oriental painting
동영상	video
동일하다	being the same
동작	motion, action
동창	alumni
동창회	alumni association
동해안	east coast
동호회	club
동화	fairy tale
동화책	children's book
되도록	as much as possible
되돌리다	to regain
되돌아보다	to look back, to think back
되살아나다	to revive
두려움	fear
두려워하다	to fear
두세	two, three
두통	headache
두통약	headache pill/medicine
둔하다	to be dull
둘러보다	to look around
둥글다	to be round
뒤떨어지다	to be inferior, to be behind
뒤집다	to flip
뒤풀이	after-party
뒷모습	the back view
뒷문	back gate
뒷이야기	behind story
뒷자리	back seat
드디어	finally
드라이	dry
드림	dream
드물다	to be rare
든든하다	to be reassuring, to be reliable
들려주다	to tell (someone)
들르다	to stop by
들리다	to be heard
들어보다	to try hearing
들어주다	to listen (to someone)
들이다	to spend (time, money)
등록	register
등록금	registration fee, tuition fee
등록증	registration card
등불	lights, lamp
디스크	disc, hernia
디자이너	designer
디지털	digital
따다	to pluck, to pick, to get
따라다니다	to follow (after someone)
따라서	therefore, hence
따로따로	separately
따지다	to question closely
딱	perfectly, just
딱딱하다	to be hard, to be stiff
딴	another, other
땅	land, ground
땅콩	peanuts
때때로	sometimes
때로	now and then
떠오르다	to float
떨다	to shiver, to shake
떨리다	to tremble, to be shaken
떨어뜨리다	to drop
떼다	to detach, to take away
또박또박	word by word, letter by letter
또한	also
똑같이	similarly, in the same manner
똑똑하다	to be clever, to be smart
뚜렷하다	to be clear
뚫다	to make a hole
뚱뚱하다	to be fat
뛰어가다	to run
뛰어나다	to be superior
뛰어내리다	to jump off
뛰어넘다	to jump over
뛰어다니다	to jump around, to run around
뛰어오다	to run (to come)
뛰쳐나가다	to rush out, to leap out
뜨거워지다	to become hot
뜻밖에	unexpectedly
띠	zodiac
램프	lamp
레몬	lemon
레포츠	leisure sports
렌즈	lens
렌터카	car rental
로또	lottery
로봇	robot
로비	lobby
룸메이트	roommate
리듬	rhythm
리모컨	remote controller
마감일	deadline, due date
마네킹	mannequin
마당	garden
마디	section
마라톤	marathon
마련하다	to provide, to prepare
마루	indoor floor
마무리	conclusion
마술	magic
마스크	mask
마약	drug
마을	village
마음껏	as much as one wants
마음대로	as one wishes
마음먹다	to make up one's mind
마음씨	mindfulness
마주보다	to come face to face
마주치다	to meet (coincidentally)
마중	pick up
마찬가지	being the same, in the same manner
마치	as if, just like
마침	just happened to be
마침내	finally
마케팅	marketing
마트	supermarket
막	insanely, do something without any order
막내	the youngest
막다	to block
막대기	rod, stick
막차	last train
만남	encounter, meeting
만년필	fountain pen
만약	by any chance
만족	satisfaction
만족감	satisfaction (feeling)
만화책	cartoon book
맏딸	eldest daughter
맏아들	eldest son
말다툼	quarrel
말리다	to stop (conflict)
말투	the way one speaks
맛보다	to taste
망가뜨리다	to break, to ruin
망가지다	to be broken, to be ruined
망설이다	to hesitate
망하다	to perish, to breakdown
맞벌이	dual-income family
맞이	greeting
맞추다	to assemble
맡기다	to entrust
맡다	to take over, to undertake
매년	annually, every year
매달	monthly, every month
매력	attraction
매력적	being attractive
매연	soot
매운탕	spicy fish soup
매점	shop
매진	sold out
매체	medium
매콤하다	to be sweet and spicy
매표소	ticket office
맨발	barefoot
맨손	bare hands
맹인	blind person
맺다	to tie
머리카락	hair
머무르다	to stay
머지않다	to be not distant
먹을거리	food
먹이	(animal) feed
먹이다	to feed
먼지	dust
멀리	far away
멀티미디어실	multimedia room
멈추다	to stop
멋지다	to be fantastic, to be amazing
멍	bruise
메일	e-mail
멜로디	melody
멜론	melon
며느리	daughter-in-law
면	side, noodles
면세점	duty-free shop
면접	interview
면접관	interviewer
면접시험	interview test
면허증	license
명랑	cheerfulness, brightness
명랑하다	to be cheerful, to be bright
명사	noun
명소	famous place
명품	masterpiece, designer goods
몇몇	some, few
모국어	native language
모기	mosquito
모델	model
모래	sand
모범생	model student
모습	appearance
모음	vowel
모자라다	to be insufficient
모집	recruitment
모험심	adventurous mind
모형	model, figure
목마르다	to be thirsty
목사	pastor
목숨	life
목욕탕	public bath
목적지	destination
목표	target, goal
몰라보다	to be unaware of, to not realize
몰래	secretly
몰려들다	to gather
몰리다	to get crowded
몸무게	bodyweight
몸짓	gesture
몹시	very, terribly
못생기다	to be ugly
무게	weight
무관심	indifference
무너지다	to collapse, to be pulled down
무늬	pattern
무대	(performance) stage
무더위	extreme heat (in summer)
무덤	tomb
무덥다	to be hot and humid
무렵	around (the time)
무사히	safely
무서워하다	to be scared
무선	wireless
무소식	no news
무시	disregard, neglect
무인	unmanned, no person
무조건	absolutely
무지개	rainbow
무통장 입금	electronic transfer, ATM deposit
묵다	to stay (at a hotel)
묶다	to bundle, to tie
문구	stationery
문명	civilization
문법	grammar
문병	a visit to a sick person
문서	documents
문의	inquiry
문자	SMS, short messages, letters
문제점	problem
문학	literature
문화생활	cultural life
문화유산	cultural heritage
문화적	being cultural
묻히다	to put on, to get buried
물가	price
물고기	fish
물냉면	Korean cold noodle
물다	to bite
물러서다	to step back, to withdraw
물려주다	to pass on, to leave
물리다	to be stung, to get bitten
물방울	water drop
물약	liquid medicine
물음	question
물질	quality
물품	product, goods
뮤지컬	musical
미끄러지다	to slide
미끄럽다	to be slippery
미루다	to procrastinate, to extend
미소	smile
미역	seaweed
미역국	seaweed soup
미용사	barber
미인	beautiful woman
미치다	to go mad, to be crazy
미팅	blind date
미혼	an unmarried, single person
민박	lodge, a local hotel
민속	folklore
민속놀이	folk play
민요	folk song
민족	ethnic group
믿다	to believe in
믿음	trust, faith
믿음직스럽다	to be reliable
믿음직하다	to be trustworthy
밀다	to push
밀려오다	to rush in, to be pushed into
밀리미터	millimeter
밉다	to hate, to be annoying
및	and
밑줄	underline
바가지	gourd
바구니	basket
바깥	outside, outdoor
바느질	needlework
바늘	needle
바닥	bottom, floor
바닥나다	to run out
바닷물	seawater
바둑	game of go
바라보다	to look at
바보	idiot, stupid
바위	rock, stone
바이러스	virus
바퀴	wheels
바탕	background, foundation
박사	doctoral degree, Ph.D.
박스	box
반가워하다	to be pleased, to be glad
반납	return
반납일	return date
반대	opposite
반대말	opposite word
반대쪽	opposite side
반드시	without fail, certainly
반말	casual talk
반복	repeat
반성	introspection, self-contemplation
반응	reaction
반짝반짝	shiny, sparkly
반짝이다	to shine, to glitter
반품	refund
반하다	to fall in love
받아들이다	to accept
발걸음	footsteps
발견	discovery
발급	issuance
발달	development
발레	ballet
발명	invention
발목	ankle
발생	occurrence
발자국	footprints
발표자	presenter
발표회	presentation
밝히다	to reveal, to disclose
밟다	to step on
밤새	all night, during the night
밤새우다	to stay up all night
밥그릇	rice bowl
밥맛	appetite, the taste of rice
밥상	table for having a meal
방금	just now
방문	visit
방송사	broadcasting company
방식	method, style
방청객	audience
방해	interference, interruption
방향	direction
밭	(farm) field
배경	background
배꼽	belly button
배낭	backpack
배낭여행	backpack trip
배려	consideration
배우자	spouse
배추	cabbage
배터리	battery
뱀	snake
뱉다	to spit out
버릇	habit, manner
버릇없다	to have bad manners
버섯	mushroom
버튼	button
번역	translation
번호표	number ticket
벌금	fine
벌리다	to open, to spread
벌집	honeycomb
범위	range
범인	criminal, offender
범죄	crime
법	law
법원	court of law
벗기다	to take off (clothes)
벗어나다	to get out
베개	pillow
벨	bell
벨트	belt
벼	rice plant
벼락	thunder
벼룩시장	flea market
벽걸이	wall-hanging
벽돌	brick
변경	change, alter
변기	toilet bowl
변명	excuse
변비	constipation
변하다	to change
변화	change
별명	nickname
별일	something else, something that has changed
병문안	a visit to a sick person
보고	report
보고서	(written) report
보고회	reporting/briefing session
보관	storage
보관실	storage room
보기	example, sample
보너스	bonus
보람	the feeling of reward
보름	the fifteenth day of the calendar
보름달	full moon
보물	treasure
보살피다	to take care of
보약	supplement, acupuncture medicine
보증금	deposit
보충	replenishment
보험	insurance
보험금	insurance money
보험료	insurance fee
보호	protection
복	fortune
복권	lottery
복날	the day of the year to eat nourishing food
복도	corridor, hallway
복사	copy
복사기	copy machine
복습	review
복통	stomach ache
본론	main discussion topic
본문	the original literature
볼거리	highlights/fun things to see
볼륨	volume
볼링	bowling
볼링장	bowling gym
볼일	errand
봉사	volunteer
봉사자	volunteer person
부끄러워하다	to be ashamed of
부끄럽다	to be shy, to be ashamed
부담	burden, pressure
부딪치다	to collide
부딪히다	to get collided
부러워하다	to feel jealous
부러지다	to get broken
부럽다	to be envious of
부분	part
부사	advert
부상	injury
부상자	injured person
부서	department
부서지다	to be shattered
부자	rich person
부작용	side effects
부잣집	rich family
부정적	being negative
부족	being not enough, lacking
부주의	carelessness
부지런히	eagerly, diligently
부채	fan
부케	bouquet
부피	size, volume
분량	quantity
분리	separation
분리수거	garbage recycling
분명하다	to be distinct, to be clear
분명히	clearly, explicitly
분실	loss
분실물	lost and found
분홍색	pink color
불가능	impossibility
불가능하다	to be impossible
불경기	economic depression
불교	buddhism
불규칙	irregularity
불꽃놀이	firework
불량	defective product, misconduct
불만	dissatisfaction
불면증	insomnia
불법	illegal
불빛	flame, light
불쌍하다	to be pathetic
불안	anxiety
불안감	an anxious feeling
불어나다	to increase, to become bigger
불친절	to be unkind
불태우다	to burn
불편	inconvenience
불평	complaints
불필요	unnecessary
불행	misfortune
붉다	to be red
붐비다	to be crowded
붕어빵	baked bread with red beans inside (street food)
붙잡다	to catch
붙잡히다	to get caught
뷔페	buffet
브랜드	brand
브레이크	brake
블라인드	blind
블로그	blog
비교	comparison
비교적	being comparative
비닐	vinyl
비다	to be vacant, to be empty
비디오카메라	video camera
비록	even if
비만	obesity
비바람	rain and wind, typhoon
비비다	to mix, to rub
비빔냉면	Korean style cold noodles with spicy sauce
비상약	emergency medicine
비용	cost
비우다	to make something empty
비자	visa
비추다	to illuminate
비타민	vitamin
비하다	to compare
빗길	rainy road
빚	debt
빛	light
빠뜨리다	to drop
빠지다	to fall in love, to sink down
빠짐없이	all without exception
빨개지다	to get red
빼앗기다	to be taken away
빼앗다	to take away
뺨	cheek
뻔하다	to be obvious, to be clear
뻗다	to extend
뽑다	to pull out, to choose
뿌리	root
뿌리다	to spray, to spread
사건	incident
사고방식	way of thinking
사교적	being sociable
사귀다	to date
사라지다	to disappear
사로잡다	to capture
사막	desert
사망	death
사망자	the dead, casualty, victim
사모님	wife (of a boss)
사무소	office
사생활	privacy
사슴	deer
사실	fact
사업	business
사용료	usage fee
사용법	how to use
사우나	sauna
사은품	appreciation gift, gift
사이버	cyber
사이좋다	to be in a good relationship
사이트	website
사정	circumstances, situation
사진관	photo studio
사진첩	photo album
사춘기	puberty
사투리	dialect
사표	resignation
사회	society
사회생활	social life
사회자	moderator, chairperson
사회적	being social
산꼭대기	mountain summit
산더미	pile
산부인과	obstetrics and gynecology
산불	forest fire
산업	industry
산책로	walking path
살리다	to keep someone alive, to bring someone to life
살림	living
살아가다	to live
살아나다	to be saved
살아남다	to survive
살아오다	to come alive
살인	murder
살짝	slightly, quietly
살찌다	to get fat
살펴보다	to explore, to observe
살피다	to explore, to observe
삶	life
삶다	to boil
삼겹살	grilled pork belly
삼일절	Korean independence movement day
삼키다	to swallow
상	prize, reward
상가	shopping street, shopping district
상관없다	to have no relation
상관없이	regardless
상금	prize money, reward
상담	consultation, counseling
상담실	counseling room
상담원	counselor
상담자	consultant
상당히	fairly, pretty
상대	opponent
상대방	opponent
상대편	the other person
상상	imagination
상상력	imagination
상승	rise, increase
상식	common knowledge, common sense
상업	commerce
상업적	being commercial
상인	merchant
상점	store
상징	symbol
상쾌하다	to feel cool and fresh
상태	status
상표	label
상품권	gift certificate
상하다	to get rotten, to get damaged
상황	situation, status
새다	to dawn
새롭다	to be new
새어머니	stepmother
새우다	to stay overnight
새치기	cutting line/que
새해	new year
색다르다	to be eccentric, to be unique, to be new
색상	color
생각나다	to remember, to recall
생강차	ginger tea
생겨나다	to emerge, to occur
생김새	appearance
생략	omission, deletion
생머리	straight hair
생명	life
생산	production
생생하다	to be fresh
생중계	live broadcast
생필품	daily necessities
생활비	cost of living, living stipend
생활수준	quality of living
서너	three or four
서두르다	to hurry, to rush
서랍	drawer
서론	introduction
서명	signature
서부	western
서빙	serving
서서히	gradually
서운하다	to be sorry, to be remorseful
서투르다	to be clumsy, to be unskilled
석사	master's degree
석식	dinner
석유	oil, petroleum
석탄	coal
섞다	to mix, to rub
선	line
선글라스	sunglasses
선선하다	to be cool, to be chilly
선진국	developed country
선착순	order of arrival
설	theory
설득	persuasion
설마	no way
설명서	manual
설문조사	questionnaire
설문지	questionnaire
설사	even if, for example, diarrhea
섭섭하다	to be sorry, to be regrettable
성공	success
성능	performance, function
성당	catholic church
성명	statement, signature
성별	gender
성실	diligent
성인	adult
성인병	adult diseases, lifestyle diseases
성적	grades
성적표	grade report card
성형	plastic surgery
세계적	being global, being worldwide
세금	tax
세기	century
세다	to count
세대	generation
세련	sophistication
세면대	washbasin, sink
세면도구	toiletries, washing accessories
세미나	seminar
세배	triple, 3 times
세뱃돈	new year's money
세상	world
세월	years
세제	detergent
세탁물	laundry
셔츠	shirt
셔틀버스	shuttle bus
소감	thoughts, feelings
소개팅	blind date
소규모	small scale
소극장	small theater
소극적	being passive
소나기	(sudden) shower/rain
소년	young boy
소득	income
소망	hope
소매	sleeve
소매치기	pickpocketing
소문	rumors, reputation
소방관	firefighter
소방서	fire department
소방차	firetruck
소비	consumption
소비자	consumer
소설책	novel
소수	minority, a small number
소스	sauce
소심하다	to be timid, to be cowardly
소용	way of use
소용없다	useless
소원	wish
소음	noise
소주	soju, a Korean liquor
소중하다	to be important
소중히	valuably, carefully
소화	digestion
속다	to be tricked
속담	proverb
속도	speed
속도위반	speed violation
속력	speed
속상하다	to be annoying, to be regretful, to be sad
속옷	underwear
속이다	to deceive
손바닥	palm
손발	hands and legs
손쉽다	to be easy
손자	grandson
손잡이	handle, rail
손질	trimming, repair
솔직하다	to be honest
솔직히	honestly, frankly
솜씨	skill, tricks
송금	money transfer
쇠	iron
쇠고기	beef
쇼	show
쇼핑몰	shopping mall
쇼핑백	shopping bag
쇼핑센터	shopping center
수거	pickup, collection
수고	hardship, hard work
수단	means, method
수도꼭지	water faucet
수량	quantity, amount
수료식	completion ceremony
수리	repair
수리비	repair cost
수면	sleep
수면제	sleeping pills
수명	lifespan
수산물	seafood
수상	prime minister
수선	repair (clothes)
수선하다	to repair (clothes)
수수료	commission, fee, charge
수입	import, income
수정	revision, crystal
수준	level
수집	collection
수출	export
수표	(money) check
수학여행	school excursion
숙녀복	women's clothing
숙박	lodging, accomodating
숙박비	accommodation fee
숙소	accommodation
숙이다	to get low, to bend low
순간	moment
순두부찌개	Sundubu soup
술자리	drinking party
술잔	glasses, cup
술집	bar
숨기다	to hide (something)
숨다	to hide
숫자	numbers
숲	forest
스님	buddhist monk
스스로	by oneself
스캐너	scanner
스타일	style
스티커	stickers
스프	soup
스피커	speaker
슬리퍼	slipper
슬픔	sorrow, sadness
습기	moisture
습도	humidity
승강기	elevator
승객	passenger
승리	victory
승용차	passenger car
승진	promotion
승차	riding, boarding
시각	visual sense
시대	era, generation
시도	attempt, trial
시력	sight
시리다	to feel a chill, to be painfully cold
시부모님	parent-in-law
시스템	system
시아버지	father-in-law
시어머니	mother-in-law
시외버스	intercity bus
시인	poet
시집	poetry collection, marriage (for women)
시집가다	to get married (for women)
시청각실	multimedia room
시청자	audience, viewer
시합	competition, match
시험공부	studying for an exam
식	formula, method
식구	familly
식료품	grocery
식물	plant
식물원	botanical garden
식비	food expenses
식생활	diet
식습관	eating habits
식욕	appetite
식용유	cooking oil
식초	vinegar
식품	food
식후	after a meal
신고	report
신기다	to make someone wear (shoe)
신기술	new technology
신기하다	to be mysterious, to be amazing, to be marvelous
신나다	to be excited, to have fun
신도시	new city
신랑	groom
신랑감	groom candidate
신문사	newspaper company
신문지	newspaper
신부	bride, father (christianity)
신분증	identification document
신상품	new item
신선하다	to be fresh
신세대	new generation
신용	credit, trust
신입생	freshmen
신제품	new product
신청자	applicant
